Endpoint                                             Methods                        Rule
invenio_deposit_ui.new                               GET, HEAD, OPTIONS             /deposit/new
invenio_deposit_ui.static                            GET, HEAD, OPTIONS             /static/<path:filename>
invenio_files_rest_admin.static                      GET, HEAD, OPTIONS             /static/<path:filename>
invenio_files_rest_api.location_usage_amount_info    GET, HEAD, OPTIONS             /adm/locations
invenio_files_rest_api.static                        GET, HEAD, OPTIONS             /adm/static/<path:filename>
invenio_i18n.set_lang                                OPTIONS, POST                  /lang/
invenio_i18n.set_lang                                GET, HEAD, OPTIONS             /lang/<lang_code>
invenio_i18n.static                                  GET, HEAD, OPTIONS             /lang/static/<path:filename>
invenio_jsonschemas.get_schema                       GET, HEAD, OPTIONS             /schema/<path:schema_path>
invenio_mail.static                                  GET, HEAD, OPTIONS             /static/<path:filename>
invenio_marc21.static                                GET, HEAD, OPTIONS             /static/<path:filename>
invenio_oaiharvester.static                          GET, HEAD, OPTIONS             /static/<path:filename>
invenio_oaiserver.response                           GET, HEAD, OPTIONS, POST       /oai
invenio_oaiserver.static                             GET, HEAD, OPTIONS             /static/<path:filename>
invenio_oauth2server.access_token                    OPTIONS, POST                  /oauth/token
invenio_oauth2server.authorize                       GET, HEAD, OPTIONS, POST       /oauth/authorize
invenio_oauth2server.errors                          GET, HEAD, OPTIONS             /oauth/errors
invenio_oauth2server.info                            GET, HEAD, OPTIONS             /oauth/info
invenio_oauth2server.invalid                         GET, HEAD, OPTIONS             /oauth/invalid
invenio_oauth2server.ping                            GET, HEAD, OPTIONS, POST       /oauth/ping
invenio_oauth2server.static                          GET, HEAD, OPTIONS             /oauth/static/<path:filename>
invenio_oauth2server_settings.client_new             GET, HEAD, OPTIONS, POST       /account/settings/applications/clients/new/
invenio_oauth2server_settings.client_reset           OPTIONS, POST                  /account/settings/applications/clients/<string:client_id>/reset/
invenio_oauth2server_settings.client_view            GET, HEAD, OPTIONS, POST       /account/settings/applications/clients/<string:client_id>/
invenio_oauth2server_settings.index                  GET, HEAD, OPTIONS, POST       /account/settings/applications/
invenio_oauth2server_settings.static                 GET, HEAD, OPTIONS             /account/settings/applications/static/<path:filename>
invenio_oauth2server_settings.token_new              GET, HEAD, OPTIONS, POST       /account/settings/applications/tokens/new/
